person_id,day,sleep_hours,screen_time,work_hours,steps,mood
1,1,7.75,4.72,7.3,6734,4.14
1,2,5.62,4.75,1.98,12111,2.28
1,3,6.13,3.95,4.86,13309,2.5
1,4,3.34,6.21,5.5,4005,1.09
1,5,7.1,2.15,4.91,4890,3.95
1,6,6.21,8.83,1.95,8513,2.1
1,7,7.44,3.73,3.96,11748,3.48
1,8,6.45,5.75,3.61,8555,2.35
1,9,7.31,1.08,3.34,13990,4.4
1,10,6.74,7.4,7.4,14103,2.09
1,11,8.12,1.33,7.13,8892,4.56
1,12,4.78,3.56,5.08,5859,3.07
1,13,4.74,6.44,4.31,9006,1.4
1,14,4.19,2.27,7.27,13706,2.24
1,15,5.74,4.38,6.66,4104,3.17
1,16,6.73,4.18,8.36,11965,2.69
1,17,6.89,7.01,6.72,4840,2.03
1,18,5.6,6.57,4.77,8035,2.14
1,19,4.87,7.08,7.81,8574,1.53
1,20,8.31,9.57,9.25,6915,2.56
1,21,8.37,5.66,4.94,11173,3.61
1,22,9.06,5.35,5.38,8392,4.05
1,23,8.27,2.38,4.26,6530,4.04
1,24,4.88,4.16,5.31,2998,2.0
1,25,6.28,3.86,1.82,2853,3.68
1,26,6.97,1.65,3.85,12344,3.5
1,27,6.34,4.83,8.47,14949,2.07
1,28,6.95,2.66,8.29,5218,4.06
1,29,8.09,3.76,6.71,8125,3.8
1,30,5.68,5.15,5.01,12589,2.89
2,1,8.18,5.86,3.81,10561,2.87
2,2,4.67,5.14,3.88,3976,2.27
2,3,7.64,1.0,6.96,9120,4.92
2,4,6.46,6.11,8.09,10208,2.72
2,5,4.43,5.24,8.0,8158,1.98
2,6,5.14,2.36,7.04,7295,3.2
2,7,8.38,4.55,7.31,9445,4.24
2,8,7.26,2.57,8.1,14992,4.5
2,9,5.0,4.95,8.69,2218,1.85
2,10,8.23,8.79,5.51,4446,1.98
2,11,7.81,2.0,5.98,6895,4.43
2,12,8.81,6.08,11.47,10151,3.45
2,13,6.44,6.01,11.57,14503,2.46
2,14,5.39,5.96,5.55,2060,2.42
2,15,6.81,6.48,5.1,1980,2.87
2,16,6.09,3.37,1.36,6854,2.99
2,17,5.28,7.78,4.29,13249,1.0
2,18,8.31,7.13,4.08,6596,3.57
2,19,6.0,1.62,7.31,7971,2.9
2,20,7.77,12.0,7.14,7655,1.78
2,21,6.17,4.74,2.88,11174,3.74
2,22,6.94,3.93,2.42,7457,3.48
2,23,6.38,6.19,2.02,4124,2.61
2,24,8.82,4.7,5.25,7966,3.17
2,25,6.84,4.03,9.19,10561,3.01
2,26,7.76,6.73,3.6,1512,2.62
2,27,4.68,4.31,6.37,14500,2.57
2,28,7.57,8.3,3.35,4147,3.16
2,29,5.22,5.46,5.32,10435,1.74
2,30,7.67,6.55,4.15,3479,2.77
3,1,6.18,7.19,10.23,6881,1.76
3,2,9.31,7.65,5.74,7905,2.9
3,3,7.0,6.51,9.87,12279,2.75
3,4,7.3,3.8,6.14,12738,3.29
3,5,7.91,7.07,3.93,6052,2.85
3,6,8.03,5.14,6.88,4913,3.32
3,7,6.0,3.26,4.91,11738,2.49
3,8,4.68,7.23,3.69,10817,2.19
3,9,5.14,3.35,9.9,6745,2.73
3,10,8.35,5.61,7.63,12000,3.67
3,11,3.67,7.78,9.74,2122,1.68
3,12,4.32,2.56,4.66,8357,3.24
3,13,4.7,5.73,8.29,3914,2.29
3,14,8.96,5.04,7.36,14923,3.62
3,15,6.59,3.77,9.82,5980,3.74
3,16,7.3,3.39,3.12,4636,3.74
3,17,7.94,6.26,5.98,12174,2.55
3,18,7.49,8.35,7.78,8056,2.44
3,19,6.35,5.41,7.12,2540,3.05
3,20,4.63,5.16,8.12,2365,2.12
3,21,5.92,4.57,6.62,5186,3.43
3,22,5.81,2.66,2.83,5849,3.02
3,23,5.98,4.9,8.54,11188,3.0
3,24,6.19,2.16,4.31,1928,3.51
3,25,7.34,5.03,6.2,14843,2.74
3,26,5.95,3.07,8.87,8114,2.81
3,27,6.83,6.95,3.09,14659,2.74
3,28,5.19,8.18,4.49,5964,1.0
